Time,Unix,Aggregate,Fridge,Freezer,Washing_Machine,Dishwasher,Computer,Television,Microwave,Kettle,Toaster,active_count
2013-10-09 13:06:17,1381323977,523,74,0,69,0,0,0,0,0,1,3
2013-10-09 13:07:59,1381324079,561,74,0,69,0,0,0,0,0,1,3
2013-10-09 14:11:32,1381327892,445,12,0,71,0,0,0,0,0,1,3
2013-10-09 14:19:59,1381328399,613,0,60,70,0,0,0,0,0,1,3
2013-10-09 14:20:59,1381328459,536,0,51,70,0,0,0,0,0,1,3
2013-10-09 14:21:59,1381328519,545,0,49,69,0,0,0,0,0,1,3
2013-10-09 14:22:59,1381328579,522,0,49,69,0,0,0,0,0,1,3
2013-10-09 14:23:58,1381328638,456,0,48,69,0,0,0,0,0,1,3
2013-10-09 14:24:59,1381328699,446,0,48,69,0,0,0,0,0,1,3
2013-10-09 14:25:59,1381328759,426,0,47,69,0,0,0,0,0,1,3
2013-10-09 14:27:01,1381328821,392,0,47,69,0,0,0,0,0,1,3
2013-10-09 14:28:01,1381328881,390,0,47,69,0,0,0,0,0,1,3
2013-10-09 14:29:01,1381328941,324,0,46,68,0,0,0,0,0,1,3
2013-10-09 14:29:59,1381328999,254,0,47,69,0,0,0,0,0,1,3
2013-10-09 14:30:59,1381329059,243,0,46,68,0,0,0,0,0,1,3
2013-10-09 14:31:59,1381329119,233,0,47,69,0,0,0,0,0,1,3
2013-10-09 14:32:59,1381329179,252,0,46,69,0,0,0,0,0,1,3
2013-10-09 14:34:00,1381329240,258,0,45,69,0,0,0,0,0,1,3
2013-10-09 14:35:00,1381329300,236,0,45,68,0,0,0,0,0,1,3
2013-10-09 15:12:44,1381331564,153,76,57,0,0,0,0,0,0,1,3
2013-10-09 15:13:45,1381331625,158,75,53,0,0,0,0,0,0,1,3
2013-10-09 15:14:44,1381331684,171,74,50,0,0,0,0,0,0,1,3
2013-10-09 15:15:45,1381331745,170,74,49,0,0,0,0,0,0,1,3
2013-10-09 15:16:45,1381331805,158,73,48,0,0,0,0,0,0,1,3
2013-10-09 15:17:44,1381331864,166,72,48,0,0,0,0,0,0,1,3
2013-10-09 15:18:45,1381331925,198,72,48,0,0,0,0,0,0,1,3
2013-10-09 15:19:44,1381331984,197,72,48,0,0,0,0,0,0,1,3
2013-10-09 15:20:45,1381332045,180,71,47,0,0,0,0,0,0,1,3
2013-10-09 15:21:46,1381332106,168,71,47,0,0,0,0,0,0,1,3
2013-10-09 15:22:46,1381332166,160,71,46,0,0,0,0,0,0,1,3
2013-10-09 15:24:02,1381332242,162,69,46,0,0,0,0,0,0,1,3
2013-10-09 15:25:02,1381332302,160,69,46,0,0,0,0,0,0,1,3
2013-10-09 15:26:15,1381332375,154,69,45,0,0,0,0,0,0,1,3
2013-10-09 15:27:16,1381332436,157,68,45,0,0,0,0,0,0,1,3
2013-10-09 15:28:17,1381332497,200,0,45,81,0,0,0,0,0,1,3
2013-10-09 15:29:17,1381332557,216,0,44,77,0,0,0,0,0,1,3
2013-10-09 15:30:19,1381332619,219,0,44,75,0,0,0,0,0,1,3
2013-10-09 15:31:33,1381332693,224,0,44,73,0,0,0,0,0,1,3
